合成・深化（PHASE2 §2.8）: 合成無・深化無
シード数: 120　深度30クリア率: 18.3%　ソルバー行き詰まり: 0件
総手数: 平均 226.1 / 中央値 225
遭難した層: 層9:2　層10:2　層13:2　層14:4　層15:3　層16:1　層18:1　層19:2　層20:8　層21:5　層22:4　層23:8　層24:12　層25:9　層26:5　層27:14　層28:9　層29:5　層30:2
遭難深度: 中央値 24（目標 20〜24）　深度25以上の遭難 44/120=36.7%（目標 35%以上）
採録が入れ替えになった割合: 層1:0%　層2:0%　層3:0%　層4:0%　層5:0%　層6:0%　層7:10%　層8:100%　層9:100%　層10:100%　層11:100%　層12:100%　層13:100%　層14:100%　層15:100%　層16:100%　層17:100%　層18:100%　層19:100%　層20:100%　層21:100%　層22:100%　層23:100%　層24:100%　層25:100%　層26:100%　層27:100%　層28:100%　層29:100%　層30:100%

--- 較正の合否（PHASE2.md §2.5① / §2）---
(a) 遭難深度の中央値 20〜24 : OK  24（遭難98件）
(b) 深度25以上の遭難 35%以上: OK  全120ラン中44件=36.7%
(c) 手数/層 各層6〜12       : OK  全層が帯内
(d) 幕をまたいで灯が細る    : OK  深度20到達組(95件) 深度10 43.6 → 深度20 32.7 → 第三幕の最小 4.7
(e) stuck 0件               : OK  0件
(f) swarm伝播 ≦ build撃破   : OK  全層で成立
(g) 深度20以降に警告域(≦8)へ: OK  深度20到達103件中88件=85.4%
(h) 発火/手が深層で頭打ち   : OK  深度11-15平均 10.97 → 深度21-25平均 12.01（比 1.09）
(i) 後半の「採る」が入れ替え: OK  深度10以降に採った 1736/1736=100.0%
(j) 後半の採録の行為の内訳  : 　 深度10以降1736回中 採る 100.0% / 合成 0.0% / 深化 0.0%
(参考) 深度30クリア率        : 18.3%　終幕(深度31)まで踏破 18.3%
(参考) 踏破時の残灯 中央値   : 20
(参考) 1ランの総手数 平均    : 226.1

  層 |    到達 |    クリア |     到達率% |      残酸素平均 |     補給前 |     手数 |    手数/層 |      発火/手平均 |     発火最大 |     連鎖平均 |     連鎖最大 |    連鎖p80 |      破壊/手平均 |     破壊最大 |    swarm伝播/手 |    build撃破/手
  1 |   120 |    120 |    100.0 |       46.5 |    35.0 |   1168 |     9.7 |        0.59 |       10 |     1.59 |        8 |        2 |        8.12 |       66 |         0.00 |         0.00
  2 |   120 |    120 |    100.0 |       50.2 |    38.8 |    944 |     7.9 |        1.40 |       17 |     1.62 |       11 |        2 |        8.20 |       74 |         0.09 |         0.55
  3 |   120 |    120 |    100.0 |       52.5 |    41.1 |   1129 |     9.4 |        2.29 |       37 |     1.76 |       11 |        3 |        9.71 |       79 |         0.04 |         0.15
  4 |   120 |    120 |    100.0 |       52.8 |    41.6 |   1375 |    11.5 |        3.56 |       74 |     1.85 |       17 |        3 |       11.46 |      128 |         0.04 |         0.21
  5 |   120 |    120 |    100.0 |       54.0 |    42.9 |   1240 |    10.3 |        4.71 |      152 |     1.88 |       14 |        3 |       11.61 |      105 |         0.00 |         0.10
  6 |   120 |    120 |    100.0 |       55.0 |    43.9 |   1235 |    10.3 |        4.56 |      102 |     1.62 |       14 |        2 |        8.56 |      105 |         0.00 |         0.07
  7 |   120 |    120 |    100.0 |       56.5 |    45.8 |   1153 |     9.6 |        7.87 |      121 |     1.98 |       18 |        3 |       13.72 |      122 |         0.00 |         0.10
  8 |   120 |    120 |    100.0 |       56.3 |    45.6 |   1351 |    11.3 |        8.86 |      200 |     1.96 |       17 |        3 |       14.36 |      121 |         0.03 |         0.23
  9 |   120 |    118 |     98.3 |       54.4 |    43.4 |   1278 |    10.7 |        8.55 |      163 |     1.84 |       20 |        3 |       12.03 |      119 |         0.00 |         0.18
 10 |   118 |    116 |     98.3 |       51.0 |    39.8 |   1126 |     9.5 |       12.43 |      200 |     2.10 |       14 |        3 |       15.81 |      160 |         0.00 |         0.10
 11 |   116 |    116 |    100.0 |       48.8 |    41.1 |   1189 |    10.3 |        7.81 |      154 |     1.65 |       15 |        2 |        9.73 |       81 |         0.04 |         0.21
 12 |   116 |    116 |    100.0 |       49.5 |    41.9 |    943 |     8.1 |       12.17 |      200 |     2.11 |       20 |        3 |       16.09 |      166 |         0.00 |         0.12
 13 |   116 |    114 |     98.3 |       49.8 |    42.5 |   1026 |     8.8 |       13.15 |      200 |     2.17 |       18 |        3 |       16.38 |      126 |         0.06 |         0.27
 14 |   114 |    110 |     96.5 |       47.2 |    39.5 |   1225 |    10.7 |        7.87 |      129 |     1.62 |       11 |        2 |        9.74 |       77 |         0.00 |         0.09
 15 |   110 |    107 |     97.3 |       48.8 |    41.7 |    842 |     7.7 |       13.84 |      203 |     2.13 |       17 |        3 |       15.31 |      135 |         0.00 |         0.26
 16 |   107 |    106 |     99.1 |       47.9 |    40.7 |   1031 |     9.6 |       10.66 |      179 |     1.85 |       20 |        3 |       12.34 |      112 |         0.00 |         0.18
 17 |   106 |    106 |    100.0 |       46.7 |    39.3 |    849 |     8.0 |       15.07 |      200 |     2.24 |       16 |        4 |       17.79 |      124 |         0.07 |         0.29
 18 |   106 |    105 |     99.1 |       45.3 |    37.8 |   1119 |    10.6 |        9.49 |      108 |     1.78 |       11 |        3 |       10.61 |       58 |         0.00 |         0.16
 19 |   105 |    103 |     98.1 |       41.7 |    33.9 |   1072 |    10.2 |        9.09 |      201 |     1.67 |       20 |        2 |        9.92 |      114 |         0.00 |         0.16
 20 |   103 |     95 |     92.2 |       40.4 |    32.7 |    890 |     8.6 |       14.57 |      200 |     2.17 |       15 |        4 |       17.21 |      120 |         0.00 |         0.22
 21 |    95 |     90 |     94.7 |       37.6 |    36.2 |    632 |     6.7 |       10.77 |      189 |     1.90 |       14 |        3 |       12.44 |      116 |         0.05 |         0.34
 22 |    90 |     86 |     95.6 |       33.0 |    31.6 |    830 |     9.2 |       13.98 |      200 |     2.13 |       13 |        4 |       17.08 |      123 |         0.00 |         0.21
 23 |    86 |     78 |     90.7 |       29.7 |    28.3 |    671 |     7.8 |       11.39 |      200 |     1.87 |       16 |        3 |       13.30 |      121 |         0.04 |         0.30
 24 |    78 |     66 |     84.6 |       29.6 |    28.2 |    485 |     6.2 |       10.62 |      170 |     1.80 |       13 |        3 |       11.32 |       87 |         0.00 |         0.16
 25 |    66 |     57 |     86.4 |       28.5 |    27.0 |    581 |     8.8 |       13.28 |      135 |     2.09 |       13 |        4 |       17.09 |       93 |         0.00 |         0.20
 26 |    57 |     52 |     91.2 |       27.7 |    26.2 |    412 |     7.2 |       13.33 |      200 |     2.09 |       16 |        3 |       16.41 |      139 |         0.00 |         0.25
 27 |    52 |     38 |     73.1 |       27.4 |    25.8 |    465 |     8.9 |        7.31 |       89 |     1.54 |       10 |        2 |        9.55 |       63 |         0.00 |         0.09
 28 |    38 |     29 |     76.3 |       29.1 |    27.3 |    321 |     8.4 |       11.24 |      200 |     1.75 |       17 |        3 |       12.12 |      154 |         0.00 |         0.21
 29 |    29 |     24 |     82.8 |       30.5 |    28.8 |    213 |     7.3 |       13.53 |      147 |     2.07 |       15 |        3 |       15.77 |      103 |         0.00 |         0.17
 30 |    24 |     22 |     91.7 |       29.0 |    27.3 |    198 |     8.3 |       16.68 |      200 |     2.26 |       18 |        4 |       19.30 |      156 |         0.00 |         0.23
 31 |    22 |     22 |    100.0 |       27.8 |    26.1 |    140 |     6.4 |       14.41 |      180 |     2.08 |       16 |        3 |       14.81 |      132 |         0.00 |         0.16
