合成・深化（PHASE2 §2.8）: 合成無・深化無
シード数: 120　深度30クリア率: 86.7%　ソルバー行き詰まり: 0件
総手数: 平均 210.0 / 中央値 211
連鎖分布(全手): p50 2 / p80 4 / p95 8　無連鎖(連鎖≤1)の手: 46.2%　補充傾斜 REFILL_BIAS=1.6
特殊駒: 生成 2.944個/手　合体(コンボ) 平均 30.32回/ラン
遭難した層: 層4:1　層9:2　層10:2　層11:1　層12:1　層14:2　層18:1　層22:1　層26:1　層27:1　層29:1　層30:2　層31:1
遭難深度: 中央値 14（目標 20〜24）　深度25以上の遭難 6/120=5.0%（目標 35%以上）
採録が入れ替えになった割合: 層1:0%　層2:0%　層3:0%　層4:0%　層5:0%　層6:0%　層7:0%　層8:0%　層9:0%　層10:0%　層11:0%　層12:0%　層13:0%　層14:0%　層15:0%　層16:0%　層17:0%　層18:0%　層19:0%　層20:0%　層21:0%　層22:0%　層23:0%　層24:0%　層25:0%　層26:0%　層27:0%

--- 較正の合否（PHASE2.md §2.5① / §2）---
(a) 遭難深度の中央値 20〜24 : NG  14（遭難17件）
(b) 深度25以上の遭難 35%以上: NG  全120ラン中6件=5.0%
(c) 手数/層 各層6〜12       : NG  深度4=12.9 深度17=5.7 深度20=5.4 深度21=4.3 深度22=3.7 深度23=5.8 深度24=3.9 深度25=3.9 深度26=3.8 深度28=5.7 深度29=3.8 深度30=4.9 深度31=2.5
(d) 幕をまたいで灯が細る    : NG  深度20到達組(110件) 深度10 44.1 → 深度20 52.2 → 第三幕の最小 34.4
(e) stuck 0件               : OK  0件
(f) swarm伝播 ≦ build撃破   : OK  全層で成立
(g) 深度20以降に警告域(≦8)へ: NG  深度20到達110件中9件=8.2%
(h) 発火/手が深層で頭打ち   : NG  深度11-15平均 23.41 → 深度21-25平均 66.53（比 2.84）
(i) 後半の「採る」が入れ替え: NG  深度10以降に採った 0/1990=0.0%
(j) 後半の採録の行為の内訳  : 　 深度10以降1990回中 採る 100.0% / 合成 0.0% / 深化 0.0%
(参考) 深度30クリア率        : 86.7%　終幕(深度31)まで踏破 85.8%
(参考) 踏破時の残灯 中央値   : 37
(参考) 1ランの総手数 平均    : 210.0

  層 |    到達 |    クリア |     到達率% |      残酸素平均 |     補給前 |     手数 |    手数/層 |      発火/手平均 |     発火最大 |     連鎖平均 |     連鎖最大 |    連鎖p50 |    連鎖p80 |    連鎖p95 |     無連鎖% |     特殊/手 |      破壊/手平均 |     破壊最大 |    swarm伝播/手 |    build撃破/手
  1 |   120 |    120 |    100.0 |       44.6 |    32.6 |   1364 |    11.4 |        0.73 |        9 |     1.89 |       11 |        2 |        3 |        5 |     49.3 |     0.55 |       10.42 |       67 |         0.00 |         0.00
  2 |   120 |    120 |    100.0 |       49.0 |    37.0 |    912 |     7.6 |        1.60 |       15 |     1.86 |       11 |        1 |        3 |        5 |     53.4 |     0.49 |        9.50 |       80 |         0.10 |         0.56
  3 |   120 |    120 |    100.0 |       52.6 |    40.6 |   1013 |     8.4 |        2.78 |       63 |     2.04 |       16 |        1 |        3 |        6 |     52.7 |     0.70 |       11.69 |      111 |         0.05 |         0.16
  4 |   120 |    119 |     99.2 |       52.1 |    40.1 |   1543 |    12.9 |        4.52 |       98 |     2.24 |       17 |        2 |        4 |        6 |     46.7 |     1.02 |       15.04 |      149 |         0.04 |         0.19
  5 |   119 |    119 |    100.0 |       52.7 |    40.7 |   1351 |    11.4 |        5.76 |       89 |     2.19 |       13 |        2 |        3 |        6 |     46.1 |     1.10 |       15.32 |      113 |         0.00 |         0.09
  6 |   119 |    119 |    100.0 |       55.3 |    43.4 |   1104 |     9.3 |        5.81 |      122 |     1.95 |       13 |        1 |        3 |        6 |     56.3 |     0.65 |       10.65 |      125 |         0.00 |         0.08
  7 |   119 |    119 |    100.0 |       55.2 |    43.5 |   1402 |    11.8 |        8.67 |      200 |     2.28 |       21 |        2 |        3 |        7 |     47.6 |     1.26 |       16.60 |      154 |         0.00 |         0.08
  8 |   119 |    119 |    100.0 |       57.6 |    46.4 |   1050 |     8.8 |       12.07 |      200 |     2.56 |       17 |        2 |        4 |        8 |     45.1 |     1.77 |       19.42 |      146 |         0.05 |         0.29
  9 |   119 |    117 |     98.3 |       56.1 |    44.6 |   1199 |    10.1 |       12.62 |      182 |     2.41 |       20 |        2 |        4 |        8 |     48.4 |     1.55 |       17.86 |      157 |         0.00 |         0.19
 10 |   117 |    115 |     98.3 |       54.3 |    42.7 |    944 |     8.1 |       17.62 |      195 |     2.68 |       18 |        2 |        4 |        9 |     43.2 |     2.30 |       22.01 |      148 |         0.00 |         0.12
 11 |   115 |    114 |     99.1 |       54.7 |    46.7 |   1008 |     8.8 |       10.66 |      172 |     1.90 |       15 |        1 |        3 |        5 |     55.2 |     1.10 |       12.11 |      101 |         0.04 |         0.28
